iter	Passed	Remaining
0	213	21183
1	254	12450
2	295	9547
3	335	8058
4	378	7190
5	422	6623
6	463	6153
7	505	5814
8	540	5466
9	585	5267
10	636	5153
11	706	5178
12	753	5045
13	798	4907
14	845	4792
15	899	4722
16	958	4678
17	1038	4729
18	1188	5066
19	1252	5008
20	1313	4939
21	1375	4876
22	1438	4814
23	1506	4771
24	1577	4732
25	1631	4642
26	1685	4556
27	1737	4468
28	1789	4380
29	1838	4290
30	1888	4203
31	1939	4122
32	1989	4040
33	2040	3961
34	2108	3914
35	2192	3898
36	2260	3849
37	2320	3786
38	2374	3713
39	2427	3641
40	2486	3577
41	2558	3533
42	2643	3503
43	2712	3451
44	2771	3387
45	2843	3337
46	2904	3274
47	2966	3213
48	3033	3156
49	3106	3106
50	3176	3052
51	3379	3119
52	3523	3124
53	3650	3109
54	3770	3085
55	3870	3041
56	3968	2993
57	4056	2937
58	4166	2895
59	4275	2850
60	4343	2777
61	4425	2712
62	4494	2639
63	4557	2563
64	4618	2487
65	4682	2411
66	4733	2331
67	4788	2253
68	4839	2174
69	4894	2097
70	4946	2020
71	4995	1942
72	5045	1866
73	5100	1791
74	5151	1717
75	5211	1645
76	5261	1571
77	5314	1498
78	5372	1428
79	5436	1359
80	5487	1287
81	5543	1216
82	5600	1147
83	5658	1077
84	5713	1008
85	5779	940
86	5851	874
87	5907	805
88	5962	736
89	6015	668
90	6110	604
91	6205	539
92	6260	471
93	6319	403
94	6371	335
95	6426	267
96	6488	200
97	6553	133
98	6627	66
99	6684	0
